word,reviewed
зна́-ме-нї-е,зна́-ме-нї-е
зна́-ме-нї-ємъ,зна́-ме-нї-ємъ
зна́-ме-нїй,зна́-ме-нїй
зна́-ме-нї-ихъ,зна́-ме-нї-ихъ
зна́-мє-нї-ѧ,зна́-мє-нї-ѧ
зна́-мен-ми,зна́-мен-ми
зна́-ме-нꙋ-етъ,зна́-ме-нꙋ-етъ
зна́-ме-нꙋ-ѧ,зна́-ме-нꙋ-ѧ
зна́-мень-ми,зна́-мень-ми
зна́-нї-е,зна́-нї-е
зна́-нї-ѧ,зна́-нї-ѧ
зна́-цы,зна́-цы
зна́-ю,зна́-ю
зно́-емъ,зно́-емъ
зно́й,зно́й
зно́-ѧ,зно́-ѧ
зѡ́-а,зѡ́-а
зо-ве́мъ,зо-ве́мъ
зо-ве́тъ,зо-ве́тъ
зо-ве́-ши,зо-ве́-ши
зо-вѝ,зо-вѝ
зо-вꙋ́,зо-вꙋ́
зо-вꙋ̀,зо-вꙋ̀
зо-вꙋ́тъ,зо-вꙋ́тъ
зо-вꙋ́-ща,зо-вꙋ́-ща
зо-вꙋ́-ща-ѧ,зо-вꙋ́-ща-ѧ
зо-вꙋ́-ще,зо-вꙋ́-ще
зо-вꙋ́-щи,зо-вꙋ́-щи
зо-вꙋ́-щихъ,зо-вꙋ́-щихъ
зо-вꙋ́-щїй,зо-вꙋ́-щїй
зо-вꙋ́-щꙋ,зо-вꙋ́-щꙋ
зо-вꙋ́-щымъ,зо-вꙋ́-щымъ
зо-вꙋ́-щы-ѧ,зо-вꙋ́-щы-ѧ
зо-вы́й,зо-вы́й
зо-вѧ̀,зо-вѧ̀
зо-вѧ́-хꙋ,зо-вѧ́-хꙋ
зо-вѧ́-ше,зо-вѧ́-ше
зѡ-сі́-ма,зѡ-сі́-ма
зѡ-сі́-мо,зѡ-сі́-мо
зѡ-сі́-мы,зѡ-сі́-мы
зра́-ка,зра́-ка
зра́-ки,зра́-ки
зра́-комъ,зра́-комъ
зра́къ,зра́къ
зра́-цѣ,зра́-цѣ
зрѝ,зрѝ
зри́-мо-е,зри́-мо-е
зри́мъ,зри́мъ
зри́мь,зри́мь
зри́-те,зри́-те
зри́т-сѧ,зри́т-сѧ
зри́тъ,зри́тъ
зри́-ши,зри́-ши
зрѣ́лъ,зрѣ́лъ
зрѣ́-нї-е,зрѣ́-нї-е
зрѣ́-нї-емъ,зрѣ́-нї-емъ
зрѣ́-нї-ю,зрѣ́-нї-ю
зрѣ́-нї-ѧ,зрѣ́-нї-ѧ
зрѣ́-ти,зрѣ́-ти
зрю̀,зрю̀
зрѧ̀,зрѧ̀
зрѧ́й,зрѧ́й
зрѧ́тъ,зрѧ́тъ
зрѧ́-хꙋ,зрѧ́-хꙋ
зрѧ́-ше,зрѧ́-ше
зрѧ́-ща-ѧ,зрѧ́-ща-ѧ
зрѧ́-ще,зрѧ́-ще
зрѧ́-щи,зрѧ́-щи
зрѧ́-щихъ,зрѧ́-щихъ
зрѧ́-щꙋ-ю,зрѧ́-щꙋ-ю
зрѧ́-щымъ,зрѧ́-щымъ
зꙋ-бѡ́въ,зꙋ-бѡ́въ
зꙋ-бѡ́мъ,зꙋ-бѡ́мъ
зꙋ-бы̀,зꙋ-бы̀
зы,зы
зѣ̑-ни-цы,зѣ̑-ни-цы
и҆,и҆
и҆́-бо,и҆́-бо
и҆-га́-ѳраѯъ,и҆-га́-ѳраѯъ
и҆́-го,и҆́-го
и҆-гра́-етъ,и҆-гра́-етъ
и҆-гра́-ли-ще,и҆-гра́-ли-ще
и҆-гра́-нї-е,и҆-гра́-нї-е
и҆-гра́-ютъ,и҆-гра́-ютъ
и҆-гра́-ю-ще,и҆-гра́-ю-ще
и҆-гра́-ѧ,и҆-гра́-ѧ
и҆-гꙋ́-ме-на,и҆-гꙋ́-ме-на
и҆-гꙋ́-ме-нꙋ,и҆-гꙋ́-ме-нꙋ
и҆-гꙋ́-менъ,и҆-гꙋ́-менъ
и҆́-де,и҆́-де
и҆́-демъ,и҆́-демъ
и҆́-детъ,и҆́-детъ
и҆́-де-ши,и҆́-де-ши
и҆-дѝ,и҆-дѝ
и҆-ди́-те,и҆-ди́-те
и҆-до́-ста,и҆-до́-ста
и҆-до́-ша,и҆-до́-ша
и҆-дꙋ̀,и҆-дꙋ̀
и҆́-дꙋтъ,и҆́-дꙋтъ
и҆-дꙋ́-ща,и҆-дꙋ́-ща
и҆-дꙋ́-щꙋ,и҆-дꙋ́-щꙋ
и҆-дꙋ́-щымъ,и҆-дꙋ́-щымъ
и҆-ды́й,и҆-ды́й
и҆-дѣ́-же,и҆-дѣ́-же
и҆-дѧ́-хꙋ,и҆-дѧ́-хꙋ
и҆-дѧ́-ше,и҆-дѧ́-ше
и҆ж-ди́хъ,и҆-жди́хъ
и҆́-же,и҆́-же
и҆̀-же,и҆̀-же
и҆з-ба́-ви,и҆з-ба́-ви
и҆з-ба́-вивъ,и҆з-ба́-вивъ
и҆з-ба́-ви-вый,и҆з-ба́-ви-вый
и҆з-ба́-вилъ,и҆з-ба́-вилъ
и҆з-ба́-вим-сѧ,и҆з-ба́-вим-сѧ
и҆з-ба́-ви-сѧ,и҆з-ба́-ви-сѧ
и҆з-ба́-ви-те,и҆з-ба́-ви-те
и҆з-ба́-ви-тель,и҆з-ба́-ви-тель
и҆з-ба́-ви-те-лю,и҆з-ба́-ви-те-лю
и҆з-ба́-ви-те-лѧ,и҆з-ба́-ви-те-лѧ
и҆з-ба́-ви-ти,и҆з-ба́-ви-ти
и҆з-ба́-ви-ти-сѧ,и҆з-ба́-ви-ти-сѧ
и҆з-ба́-вит-сѧ,и҆з-ба́-вит-сѧ
и҆з-ба́-витъ,и҆з-ба́-витъ
и҆з-ба́-ви-хом-сѧ,и҆з-ба́-ви-хом-сѧ
и҆з-ба́-ви-ши,и҆з-ба́-ви-ши
и҆з-ба-вле́й,и҆з-ба-вле́й
и҆з-ба-вле́-нї-е,и҆з-ба-вле́-нї-е
и҆з-ба-вле́-нї-и,и҆з-ба-вле́-нї-и
и҆з-бав-ле́-нї-ѧ,и҆з-ба-вле́-нї-ѧ
и҆з-ба́-влен-нї-и,и҆з-ба́-влен-нї-и
и҆з-ба́вль,и҆з-ба́вль
и҆з-ба́вль-сѧ,и҆з-ба́вль-сѧ
и҆з-ба́вль-ша-го,и҆з-ба́вль-ша-го
и҆з-ба́вль-ше-мꙋ,и҆з-ба́вль-ше-мꙋ
и҆з-ба́вль-ше-сѧ,и҆з-ба́вль-ше-сѧ
и҆з-ба́вль-шꙋ-ю,и҆з-ба́вль-шꙋ-ю
и҆з-ба́в-лю,и҆з-ба́-влю
и҆з-ба́в-лю-сѧ,и҆з-ба́-влю-сѧ
и҆з-бав-лѧ́-е-ми,и҆з-ба-влѧ́-е-ми
и҆з-ба-влѧ́-ем-сѧ,и҆з-ба-влѧ́-ем-сѧ
и҆з-бав-лѧ́-етъ,и҆з-ба-влѧ́-етъ
и҆з-ба-влѧ́-е-ши,и҆з-ба-влѧ́-е-ши
и҆з-бав-лѧ́й,и҆з-ба-влѧ́й
и҆з-бав-лѧ́-ти,и҆з-ба-влѧ́-ти
и҆з-бав-лѧ́-ю-ща,и҆з-ба-влѧ́-ю-ща
и҆з-бав-лѧ́-ю-ща-го,и҆з-ба-влѧ́-ю-ща-го
и҆з-бав-лѧ́-ю-ща-ѧ,и҆з-ба-влѧ́-ю-ща-ѧ
и҆з-ба-влѧ́-ю-щи,и҆з-ба-влѧ́-ю-щи
и҆з-ба-влѧ́-ѧ,и҆з-ба-влѧ́-ѧ
и҆з-ба-влѧ́-ѧй,и҆з-ба-влѧ́-ѧй
и҆з-бе-ре́тъ,и҆з-бе-ре́тъ
и҆з-бѝ,и҆з-бѝ
и҆з-би́-ша,и҆з-би́-ша
и҆з-бле-ва̀,и҆з-бле-ва̀
и҆з-бра̀,и҆з-бра̀
и҆з-бра́въ,и҆з-бра́въ
и҆з-бра́лъ,и҆з-бра́лъ
и҆з-бра́-нї-е,и҆з-бра́-нї-е
и҆з-бра́н-на,и҆з-бра́н-на
и҆з-бра́н-на-го,и҆з-бра́н-на-го
и҆з-бра́н-на-гѡ,и҆з-бра́н-на-гѡ
и҆з-бра́н-на-ѧ,и҆з-бра́н-на-ѧ
и҆з-бра́н-нї-и,и҆з-бра́н-нї-и
и҆з-бра́н-нꙋ-ю,и҆з-бра́н-нꙋ-ю
и҆з-бра́н-ный,и҆з-бра́н-ный
и҆з-бра́н-ны-ми,и҆з-бра́н-ны-ми
и҆з-бра̑н-нымъ,и҆з-бра̑н-нымъ
и҆з-бра́н-ныхъ,и҆з-бра́н-ныхъ
и҆з-бра̑н-ны-ѧ,и҆з-бра̑н-ны-ѧ
и҆з-бра́нъ,и҆з-бра́нъ
и҆з-бра́хъ,и҆з-бра́хъ
и҆з-бы́въ,и҆з-бы́въ
и҆з-бы́-ти,и҆з-бы́-ти
и҆з-бѣ-га́-емъ,и҆з-бѣ-га́-емъ
и҆з-бѣ́глъ,и҆з-бѣ́глъ
и҆з-бѣ-жа́въ,и҆з-бѣ-жа́въ
и҆з-бѣ-жа́-ти,и҆з-бѣ-жа́-ти
и҆з-ве-дѐ,и҆з-ве-дѐ
и҆з-ве-де́тъ,и҆з-ве-де́тъ
и҆з-ве-дѝ,и҆з-ве-дѝ
и҆з-ве-до́хъ,и҆з-ве-до́хъ
и҆з-ве-ды́й,и҆з-ве-ды́й
и҆з-ве́лъ,и҆з-ве́лъ
и҆з-ве-стѝ,и҆з-ве-стѝ
и҆з-ви-ті́й-ство-ва,и҆з-ви-ті́й-ство-ва
и҆з-вле́къ,и҆з-вле́къ
и҆з-во-ле́-нї-е,и҆з-во-ле́-нї-е
и҆з-во-ле́-нї-емъ,и҆з-во-ле́-нї-емъ
и҆з-во́-ли,и҆з-во́-ли
и҆з-во́-лив-ша-го,и҆з-во́-лив-ша-го
и҆з-во́-ли-вый,и҆з-во́-ли-вый
и҆з-во́-лилъ,и҆з-во́-лилъ
и҆з-во́-литъ,и҆з-во́-литъ
и҆з-во́-лихъ,и҆з-во́-лихъ
и҆з-вѣ́ст-во-ва-ше,и҆з-вѣ́ст-во-ва-ше
и҆з-вѣст-вꙋ́-е-ши,и҆з-вѣст-вꙋ́-е-ши
и҆з-вѣ́-стенъ,и҆з-вѣ́-стенъ
и҆з-вѣ-сти́,и҆з-вѣ-сти́
и҆з-вѣ-стѝ,и҆з-вѣ-стѝ
и҆з-вѣ́ст-но,и҆з-вѣ́ст-но
и҆з-вѣ́ст-нѡ,и҆з-вѣ́ст-нѡ
и҆з-вѣ́ст-но-е,и҆з-вѣ́ст-но-е
и҆з-вѣ́ст-нѣй-ше-е,и҆з-вѣ́ст-нѣй-ше-е
и҆з-вѣ-ще́-нї-е,и҆з-вѣ-ще́-нї-е
и҆з-вѣ-щє́н-нымъ,и҆з-вѣ-щє́н-нымъ
и҆з-гна̀,и҆з-гна̀
и҆з-гна́въ,и҆з-гна́въ
и҆з-гна́лъ,и҆з-гна́лъ
и҆з-гна́-ни,и҆з-гна́-ни
и҆з-гна́-нї-е,и҆з-гна́-нї-е
и҆з-гна́-нї-и,и҆з-гна́-нї-и
и҆з-гна́нъ,и҆з-гна́нъ
и҆з-гна́-ша,и҆з-гна́-ша
и҆з-да-ле́-ча,и҆з-да-ле́-ча
и҆з-ды-ха́-нї-ѧ,и҆з-ды-ха́-нї-ѧ
и҆з-же-нꙋ́тъ,и҆з-же-нꙋ́тъ
и҆-зи́-де,и҆-зи́-де
и҆з-ли-ва́-е-ши,и҆з-ли-ва́-е-ши
и҆з-лї-ѧ̀,и҆з-лї-ѧ̀
и҆з-лї-ѧ́лъ,и҆з-лї-ѧ́лъ
и҆з-лї-ѧ́-сѧ,и҆з-лї-ѧ́-сѧ
и҆з-ми́,и҆з-ми́
и҆з-мѝ,и҆з-мѝ
и҆з-мла́-да,и҆з-мла́-да
и҆з-мо-ве́-ни,и҆з-мо-ве́-ни
и҆з-мѣ-не́-нї-е,и҆з-мѣ-не́-нї-е
и҆з-мѣ-не́-нї-емъ,и҆з-мѣ-не́-нї-емъ
и҆з-мѣ-не́-нї-ѧ,и҆з-мѣ-не́-нї-ѧ
и҆з-мѣ-нѝ,и҆з-мѣ-нѝ
и҆з-мѣ-ни́л-сѧ,и҆з-мѣ-ни́л-сѧ
и҆з-мѣ-ни́лъ,и҆з-мѣ-ни́лъ
и҆з-мѣ-ни́-сѧ,и҆з-мѣ-ни́-сѧ
и҆з-мѣ-ни́тъ,и҆з-мѣ-ни́тъ
и҆з-мѣ́н-ше-мꙋ,и҆з-мѣ́н-ше-мꙋ
и҆з-мѣ́н-ше-сѧ,и҆з-мѣ́н-ше-сѧ
и҆з-мѣ-нѧ́-ше-сѧ,и҆з-мѣ-нѧ́-ше-сѧ
и҆з-мѣ-нѧ́-ю-щи,и҆з-мѣ-нѧ́-ю-щи
и҆з-не-мо-га́-етъ,и҆з-не-мо-га́-етъ
и҆з-не-мо-го́-ша,и҆з-не-мо-го́-ша
и҆з-не-мо́-же,и҆з-не-мо́-же
и҆з-не-сѐ,и҆з-не-сѐ
и҆з-но́-ситъ,и҆з-но́-ситъ
и҆з-нꙋ-ри́лъ,и҆з-нꙋ-ри́лъ
и҆-зоч-те́тъ,и҆-зоч-те́тъ
и҆з-ра́-иль,и҆з-ра́-иль
и҆з-ра-стѝ,и҆з-ра-стѝ
и҆з-ре-че́-нї-ѧ,и҆з-ре-че́-нї-ѧ
и҆з-ре-щѝ,и҆з-ре-щѝ
и҆з-ри-но-ве́-на,и҆з-ри-но-ве́-на
и҆з-рѣ-ши́-хом-сѧ,и҆з-рѣ-ши́-хом-сѧ
и҆з-рѧ́-денъ,и҆з-рѧ́-денъ
и҆з-рѧ́д-на,и҆з-рѧ́д-на
и҆з-рѧ́д-нѡ,и҆з-рѧ́д-нѡ
и҆з-рѧ́д-но-е,и҆з-рѧ́д-но-е
и҆з-рѧ́д-ный,и҆з-рѧ́д-ный
и҆з-рѧ́д-ны-ѧ,и҆з-рѧ́д-ны-ѧ
и҆з-рѧ́д-нѣ-е,и҆з-рѧ́д-нѣ-е
и҆з-се-ле́нъ,и҆з-се-ле́нъ
и҆з-со́х-ше,и҆з-со́х-ше
и҆з-стꙋ-пле́-нї-е,и҆з-стꙋ-пле́-нї-е
и҆з-сꙋ-ша́-ет-сѧ,и҆з-сꙋ-ша́-ет-сѧ
и҆з-сꙋ-шѝ,и҆з-сꙋ-шѝ
и҆з-сꙋ-ши́в-ше-мꙋ,и҆з-сꙋ-ши́в-ше-мꙋ
и҆з-сꙋ-ши́лъ,и҆з-сꙋ-ши́лъ
и҆з-цѣ-ле́-нї-е,и҆з-цѣ-ле́-нї-е
и҆з-цѣ-лє́-нї-ѧ,и҆з-цѣ-лє́-нї-ѧ
и҆́з--ше,и҆́з-ше
и҆з-ше́д-ше,и҆з-ше́д-ше
и҆з-ше́дъ,и҆з-ше́дъ
и҆з-ше́лъ,и҆з-ше́лъ
и҆з̾,и҆з̾
и҆зъ,и҆зъ
и҆-з̾и-ма́-ше,и҆з̾-и-ма́-ше
и҆-з̾и-ма́-ѧ,и҆з̾-и-ма́-ѧ
и҆з̾-ѻ-би́-лї-е,и҆з̾-ѻ-би́-лї-е
и҆з̾-ѻ-би́ль-нѡ,и҆з̾-ѻ-би́ль-нѡ
и҆з̾-ѡ-бра-же́-нї-е,и҆з̾-ѡ-бра-же́-нї-е
и҆з̾-ѡ-бра-зѝ,и҆з̾-ѡ-бра-зѝ
и҆з̾-ѡ-бра-зи́в-ше,и҆з̾-ѡ-бра-зи́в-ше
и҆з̾-ѡ-бра-зи́-тєль-на-ѧ,и҆з̾-ѡ-бра-зи́-тєль-на-ѧ
и҆з̾-ꙋ-вѧ́д-шꙋ,и҆з̾-ꙋ-вѧ́д-шꙋ
и҆з̾-ꙋ-мѣ-ва́-етъ,и҆з̾-ꙋ-мѣ-ва́-етъ
и҆з̾-ѧ-ви́-сѧ,и҆з̾-ѧ-ви́-сѧ
и҆з̾-ѧв-лѧ́-ѧ,и҆з̾-ѧв-лѧ́-ѧ
и҆з̾-ѧ́лъ,и҆з̾-ѧ́лъ
и҆з̾-ѧ́-ти,и҆з̾-ѧ́-ти
и҆-зы́-де,и҆-зы́-де
и҆-зы́-детъ,и҆-зы́-детъ
и҆-зы́-де-ши,и҆-зы́-де-ши
и҆-зы́-ди,и҆-зы́-ди
и҆-зы-ди́-те,и҆-зы-ди́-те
и҆-зы-до́-сте,и҆-зы-до́-сте
и҆-зы-до́хъ,и҆-зы-до́хъ
и҆-зы-до́-ша,и҆-зы-до́-ша
и҆-зы́-дꙋтъ,и҆-зы́-дꙋтъ
и҆-зы́-ти,и҆-зы́-ти
и҆-лѝ,и҆-лѝ
и҆-лї-а̀,и҆-лї-а̀
и҆-лї-а́нъ,и҆-лї-а́нъ
и҆-лї-ѐ,и҆-лї-ѐ
и҆-лі́й,и҆-лі́й
и҆-лї-ѝ,и҆-лї-ѝ
и҆-лї-и-нꙋ̀,и҆-лї-и-нꙋ̀
и҆-лї-о-дѡ́ръ,и҆-лї-о-дѡ́ръ
и҆-лї-ю̀,и҆-лї-ю̀
и҆́-ма,и҆́-ма
и҆́-мамъ,и҆́-мамъ
и҆́-ма-мы,и҆́-ма-мы
и҆́-ма-те,и҆́-ма-те
и҆́-мать,и҆́-мать
и҆́-ма-ши,и҆́-ма-ши
и҆-ме-на̀,и҆-ме-на̀
и҆́-ме-не,и҆́-ме-не
и҆́-ме-немъ,и҆́-ме-немъ
и҆́-ме-ни,и҆́-ме-ни
и҆-ме-но-ва̀,и҆-ме-но-ва̀
и҆-ме-но-ва́-ша,и҆-ме-но-ва́-ша
и҆-ме-нꙋ́-е-мо-ю,и҆-ме-нꙋ́-е-мо-ю
и҆-ме-нꙋ́-емъ,и҆-ме-нꙋ́-емъ
и҆-ме-нꙋ́-ет-сѧ,и҆-ме-нꙋ́-ет-сѧ
и҆-ме-нꙋ́-етъ,и҆-ме-нꙋ́-етъ
и҆-ме-нꙋ́-ѧ,и҆-ме-нꙋ́-ѧ
и҆-ме́нъ,и҆-ме́нъ
и҆́-метъ,и҆́-метъ
и҆́м-же,и҆́м-же
и҆̀м-же,и҆̀м-же
и҆́-ми,и҆́-ми
и҆́-ми-же,и҆́-ми-же
и҆̀-ми-же,и҆̀-ми-же
и҆́м҃рекъ,и҆́м҃рекъ
и҆́мⷬ҇къ,и҆́мⷬ҇къ
и҆́-мꙋтъ,и҆́-мꙋтъ
и҆-мꙋ́-ща,и҆-мꙋ́-ща
и҆-мꙋ́-ща-го,и҆-мꙋ́-ща-го
и҆-мꙋ́-ща-гѡ,и҆-мꙋ́-ща-гѡ
и҆-мꙋ́-ща-ѧ,и҆-мꙋ́-ща-ѧ
и҆-мꙋ́-ще,и҆-мꙋ́-ще
и҆-мꙋ́-ще-е,и҆-мꙋ́-ще-е
и҆-мꙋ́-ще-мꙋ,и҆-мꙋ́-ще-мꙋ
и҆-мꙋ́-щемъ,и҆-мꙋ́-щемъ
и҆-мꙋ́-щи,и҆-мꙋ́-щи
и҆-мꙋ́-щихъ,и҆-мꙋ́-щихъ
и҆-мꙋ́-щї-и,и҆-мꙋ́-щї-и
и҆-мꙋ́-щꙋ,и҆-мꙋ́-щꙋ
и҆-мꙋ́-щꙋ-ю,и҆-мꙋ́-щꙋ-ю
и҆-мꙋ́-щымъ,и҆-мꙋ́-щымъ
и҆-мꙋ́-щы-ѧ,и҆-мꙋ́-щы-ѧ
и҆-мꙋ́-щѧ,и҆-мꙋ́-щѧ
и҆́мъ,и҆́мъ
и҆̀мъ,и҆̀мъ
и҆-мы́й,и҆-мы́й
и҆-мѣ̀,и҆-мѣ̀
и҆-мѣ́-вый,и҆-мѣ́-вый
и҆-мѣ́-етъ,и҆-мѣ́-етъ
и҆-мѣ́й,и҆-мѣ́й
и҆-мѣ́й-те,и҆-мѣ́й-те
и҆-мѣ́-ла,и҆-мѣ́-ла
и҆-мѣ́-ли,и҆-мѣ́-ли
и҆-мѣ́лъ,и҆-мѣ́лъ
и҆-мѣ́-нї-е,и҆-мѣ́-нї-е
и҆-мѣ́-нїй,и҆-мѣ́-нїй
и҆-мѣ̑-нї-ѧ,и҆-мѣ̑-нї-ѧ
и҆-мѣ́н-на-гѡ,и҆-мѣ́н-на-гѡ
и҆-мѣ́-ти,и҆-мѣ́-ти
и҆-мѣ́хъ,и҆-мѣ́хъ
и҆-мѣ́-ю,и҆-мѣ́-ю
и҆-мѣ́-ютъ,и҆-мѣ́-ютъ
и҆-мѣ́-ю-щи,и҆-мѣ́-ю-щи
и҆-мѣ́-ѧ,и҆-мѣ́-ѧ
и҆-мѣ́-ѧй,и҆-мѣ́-ѧй
и-мѣ́-ѧ-и,и-мѣ́-ѧ-и
и҆-мѣ́-ѧ-хꙋ,и҆-мѣ́-ѧ-хꙋ
и҆-мѣ́-ѧ-ше,и҆-мѣ́-ѧ-ше
и҆́-мѧ,и҆́-мѧ
и҆́-мѧ-ре́къ,и҆́-мѧ-ре́къ
и҆-мѧ́-ше,и҆-мѧ́-ше
и҆́-на,и҆́-на
и҆-на́-гѡ,и҆-на́-гѡ
и҆́-на-кѡ,и҆́-на-кѡ
и҆-на́-кѡ,и҆-на́-кѡ
и҆-на́-ѧ,и҆-на́-ѧ
и҆́н-дѣ,и҆́н-дѣ
и҆́-ней,и҆́-ней
и҆-ні́-и,и҆-ні́-и
и҆́-но,и҆́-но
и҆-но-гда̀,и҆-но-гда̀
и҆-но́-го,и҆-но́-го
и҆-но́-гѡ,и҆-но́-гѡ
и҆-но́-е,и҆-но́-е
и҆́-но-ка,и҆́-но-ка
и҆́-но-кѡвъ,и҆́-но-кѡвъ
и҆́-но-кѡмъ,и҆́-но-кѡмъ
и҆́-нокъ,и҆́-нокъ
и҆-но́-мꙋ,и҆-но́-мꙋ
и҆-но́мъ,и҆-но́мъ
и҆-но-пле-ме́н-ни-ка,и҆-но-пле-ме́н-ни-ка
и҆-но-пле-ме́н-ни-ки,и҆-но-пле-ме́н-ни-ки
и҆-но-пле-ме́н-ни-кѡвъ,и҆-но-пле-ме́н-ни-кѡвъ
и҆-но-пле-ме́н-никъ,и҆-но-пле-ме́н-никъ
и҆-но-пле-мє́н-ни-цы,и҆-но-пле-мє́н-ни-цы
и҆-но-пле-мє́н-ни-чи,и҆-но-пле-мє́н-ни-чи
и҆-но-пле-ме́н-ныхъ,и҆-но-пле-ме́н-ныхъ
и҆́-но-че-ска-гѡ,и҆́-но-че-ска-гѡ
и҆́-но-че-ско-е,и҆́-но-че-ско-е
и҆́-но-че-ствꙋ-ю-щихъ,и҆́-но-че-ствꙋ-ю-щихъ
и҆́-нꙋ,и҆́-нꙋ
и҆-нꙋ́-ю,и҆-нꙋ́-ю
и҆́нъ,и҆́нъ
и҆́-ны,и҆́-ны
и҆́-ный,и҆́-ный
и҆-ны́й,и҆-ны́й
и҆-ны́-ми,и҆-ны́-ми
и҆-ны̑мъ,и҆-ны̑мъ
и҆-ны́хъ,и҆-ны́хъ
и҆-ны́-ѧ,и҆-ны́-ѧ
и҆-ны̑-ѧ,и҆-ны̑-ѧ
и҆-нѣ́-ми,и҆-нѣ́-ми
и҆-нѣ́мъ,и҆-нѣ́мъ
и҆-нѣ́хъ,и҆-нѣ́хъ
и҆-ра́-клїй,и҆-ра́-клїй
и҆р-кꙋ́т-ско-е,и҆р-кꙋ́т-ско-е
и҆р-кꙋ́тскъ,и҆р-кꙋ́тскъ
и҆́-рѡ-да,и҆́-рѡ-да
и҆́-рѡдъ,и҆́-рѡдъ
и҆-рѡ-і́-да,и҆-рѡ-і́-да
и҆-са́-ї-а,и҆-са́-ї-а
и҆-са́-ї-е,и҆-са́-ї-е
и҆-са́-ї-и,и҆-са́-ї-и
и҆-са́-ї-и-на,и҆-са́-ї-и-на
и҆-са́-ї-но,и҆-са́-ї-но
и҆-са́-ї-ныхъ,и҆-са́-ї-ныхъ
и҆-са́-ї-ѧ,и҆-са́-ї-ѧ
и҆-са́-ѵꙋ,и҆-са́-ѵꙋ
и҆-са́ѵъ,и҆-са́ѵъ
и҆-ска́-па-вый,и҆-ска́-па-вый
и҆-ска́-ти,и҆-ска́-ти
и҆-ска́-хꙋ,и҆-ска́-хꙋ
и҆-ска́-ше,и҆-ска́-ше
и҆-скі́й,и҆-скі́й
и҆-ско́й,и҆-ско́й
и҆-ско-ре-ни́-ти,и҆-ско-ре-ни́-ти
и҆-скра̀,и҆-скра̀
и҆́-скрен-не-мꙋ,и҆́-скрен-не-мꙋ
и҆́-скрен-нїй,и҆́-скрен-нїй
и҆́-скрен-нѡ,и҆́-скрен-нѡ
и҆́-скрен-нѧ-го,и҆́-скрен-нѧ-го
и҆́-скрен-нѧ-гѡ,и҆́-скрен-нѧ-гѡ
и҆́-скры,и҆́-скры
и҆-скꙋ-пѝ,и҆-скꙋ-пѝ
и҆-скꙋ-пи́лъ,и҆-скꙋ-пи́лъ
и҆-скꙋ́-са,и҆-скꙋ́-са
и҆-скꙋ́-сенъ,и҆-скꙋ́-сенъ
и҆-скꙋ-сѝ,и҆-скꙋ-сѝ
и҆-скꙋ-си́в-сѧ,и҆-скꙋ-си́в-сѧ
и҆-скꙋ-си́лъ,и҆-скꙋ-си́лъ
и҆-скꙋ-си́-ти,и҆-скꙋ-си́-ти
и҆-скꙋ-си́-ша,и҆-скꙋ-си́-ша
и҆-скꙋ́-сомъ,и҆-скꙋ́-сомъ
и҆-скꙋ́с-ства,и҆-скꙋ́с-ства
и҆-скꙋ́съ,и҆-скꙋ́съ
и҆-скꙋ-ша́-є-мымъ,и҆-скꙋ-ша́-є-мымъ
и҆-скꙋ-ша́-емь,и҆-скꙋ-ша́-емь
и҆-скꙋ-ша́-етъ,и҆-скꙋ-ша́-етъ
и҆-скꙋ-ша́-хꙋ-сѧ,и҆-скꙋ-ша́-хꙋ-сѧ
и҆-скꙋ-ше́-нї-е,и҆-скꙋ-ше́-нї-е
и҆-скꙋ-ше́-нї-емъ,и҆-скꙋ-ше́-нї-емъ
и҆-скꙋ-ше́-нїй,и҆-скꙋ-ше́-нїй
и҆-скꙋ-ше́-нї-ихъ,и҆-скꙋ-ше́-нї-ихъ
и҆-скꙋ-ше́-нї-ѧ,и҆-скꙋ-ше́-нї-ѧ
и҆-скꙋ-ше́нъ,и҆-скꙋ-ше́нъ
и҆-спе́р-ва,и҆-спе́р-ва
и҆-спе-ре́тъ,и҆-спе-ре́тъ
и҆-спї-ю́тъ,и҆-спї-ю́тъ
и҆-спо-вѣ́-да,и҆-спо-вѣ́-да
и҆-спо-вѣ́-дав-ша,и҆-спо-вѣ́-дав-ша
и҆-спо-вѣ́-давъ,и҆-спо-вѣ́-давъ
и҆-спо-вѣ́-дай-те-сѧ,и҆-спо-вѣ́-дай-те-сѧ
и҆-спо-вѣ́-далъ,и҆-спо-вѣ́-далъ
и҆-спо-вѣ́-да-нї-е,и҆-спо-вѣ́-да-нї-е
и҆-спо-вѣ́-да-нї-емъ,и҆-спо-вѣ́-да-нї-емъ
и҆-спо-вѣ́-да-нї-и,и҆-спо-вѣ́-да-нї-и
и҆-спо-вѣ́-да-нї-ѧ,и҆-спо-вѣ́-да-нї-ѧ
и҆-спо-вѣ́-да-ти,и҆-спо-вѣ́-да-ти
и҆-спо-вѣ́-да-ти-сѧ,и҆-спо-вѣ́-да-ти-сѧ
и҆-спо-вѣ́-да-хꙋ,и҆-спо-вѣ́-да-хꙋ
и҆-спо-вѣ́-да-ша,и҆-спо-вѣ́-да-ша
и҆-спо-вѣ́-да-ше,и҆-спо-вѣ́-да-ше
и҆-спо-вѣ́-да-ю,и҆-спо-вѣ́-да-ю
