reviewed,word
ра*с.тво-рѝ,ра*с.тво-рѝ
ра*с.тво-ри́хъ,ра*с.тво-ри́хъ
ра*с-тер-за̀,ра*с-тер-за̀
ра*с-тер-за́в-ша-ѧ,ра*с-тер-за́в-ша-ѧ
ра*с-тер-за́въ,ра*с-тер-за́въ
ра*с-тер-за́лъ,ра*с-тер-за́лъ
ра*с-тлѝ,ра*с-тлѝ
ра*с.тлѣ́-сѧ,ра*с.тлѣ́-сѧ
ра*с.то́рг-ни,ра*с.то́рг-ни
ра*с.то́рг-нꙋ-вый,ра*с.то́рг-нꙋ-вый
ра*с.то́р-же,ра*с.то́р-же
ра*с.то-ча́т-сѧ,ра*с.то-ча́т-сѧ
ра*с.то-чє́н-на-ѧ,ра*с.то-чє́н-на-ѧ
ра*с.то-чи́лъ,ра*с.то-чи́лъ
ре́.в*но-сти,ре́.в*но-сти
ре́.в*но-стї-ю,ре́.в*но-стї-ю
ре́.в*ность,ре́.в*ность
свѣ́т.лѣ,свѣ́т.лѣ
свѣ-то-ѻб.ра̑з-на-ѧ,свѣ-то-ѻб.ра̑з-на-ѧ
свѧ́*т.че,свѧ́*т.че
сїл-ве́*стръ,сїл-ве́*стръ
сї-ѡ́.нꙋ,сї-ѡ́.нꙋ
сла́в.никъ,сла́в.никъ
сла-во-сло-в*лє́-нї-и,сла-во-сло-в*лє́-нї-и
сла-во-сло́.в*лю,сла-во-сло́.в*лю
сла-дко-пѣ́.снен-нꙋ-ю,сла-дко-пѣ́.снен-нꙋ-ю
сла-до.стра́-стї-е,сла-до.стра́-стї-е
смо-ко́в.ни-цꙋ,смо-ко́в.ни-цꙋ
смы́-сломъ,смы́-сло.мъ
со-прич.тѝ,со-прич.тѝ
со-став-ле́-нї-е,со-ста.вле́-нї-е
спа*с.ла̀,спа*с.ла̀
спа*с.ло̀,спа*с.ло̀
спо-до́б.лю-сѧ,спо-до́*б.лю-сѧ
спо-доб.лѧ́-ет-сѧ,спо-доб.лѧ́-ет-сѧ
спо-доб.лѧ́-ѧ,спо-доб.лѧ́-ѧ
спо-доб.лѧ́-ѧй-сѧ,спо-доб.лѧ́-ѧй-сѧ
сра.с*пи-на́-емь,сра.с*пи-на́-емь
сра.с*пи-на́-ю-сѧ,сра.с*пи-на́-ю-сѧ
сре́.д*не-е,сре́.д*не-е
сре́д*ствъ,сре́д*ствъ
та́-ин*ствъ,та́-ин*ствъ
тє́-плы*ѧ,тє́-плы*ѧ
тор-же́*ствъ,тор-же́*ствъ
тра́в.ни-цѣ,тра́в.ни-цѣ
три-пѣ́с.нецъ,три-пѣ́с.нецъ
тѣ́.сный,тѣ́.сный
тѣ́.снымъ,тѣ́.снымъ
ѹ҆́.гла,ѹ҆́.гла
ѹ҆-да*в-ле́-нї-е,ѹ҆-да*в-ле́-нї-е
ѹ҆-ло*в-ле́й,ѹ҆-ло*в-ле́й
ѹ҆-ло*в-ле́н-нї-и,ѹ҆-ло*в-ле́н-нї-и
ѹ҆-ло*в-лѧ́-ше,ѹ҆-ло*в-лѧ́-ше
ѹ҆́.тварь,ѹ҆́.тварь
хи́-тро.сти,хи́-тро.сти
ца́р*ствъ,ца́р*ствъ
цер-ко.вно-сло-ве́н-скїй,цер-ко.вно-сло-ве́н-скїй
че*ст.во-ва́-ти,че*ст.во-ва́-ти
че*ст.вꙋ́-ю-щымъ,че*ст.вꙋ́-ю-щымъ
че*ст.вꙋ́-ю-щы-ѧ,че*ст.вꙋ́-ю-щы-ѧ
че-тве-ро-пѣ́.снецъ,че-тве-ро-пѣ́.снецъ
че́.тверть,че́.тверть
чꙋ́в*ствъ,чꙋ́в*ствъ
ꙗ҆́з.ва,ꙗ҆́з.ва
ꙗ҆́з.ва-ми,ꙗ҆́з.ва-ми
ꙗ҆́з.вамъ,ꙗ҆́з.вамъ
ꙗ҆́.снѡ,ꙗ҆́.снѡ
ꙗ҆́.снѣ,ꙗ҆́.снѣ
ѳе-о-до́*сїй,ѳе-о-до́*сїй
а҆́.гнецъ,а҆́.гнецъ
а҆́.гни-ца,а҆́.гни-ца
а҆-рї-а́.д*на,а҆-рї-а́.д*на
бг҃о-до*х.но-ве́н-не,бг҃о-до*х.но-ве́н-не
без-бо-лѣ́з.нен-нѡ,без-бо-лѣ́з.нен-нѡ
без-чи́*с.лен-нѡ,без-чи́*с.лен-нѡ
бе́з.дна,бе́з.дна
бе́з.дно,бе́з.дно
бе́з.днꙋ,бе́з.днꙋ
бе́з.дны,бе́з.дны
бе́з.днѣ,бе́з.днѣ
без-чи́*с.лен-ныхъ,без-чи́*с.лен-ныхъ
бла-го-слов-лѧ́-хꙋ,бла-го-сло-в*лѧ́-хꙋ
бла-го-слов-лю̀,бла-го-сло.в*лю̀
бл҃го-ѡб.ра́з-ный,бл҃го-ѡб.ра́з-ный
бл҃го-ра*ст.во-ре́-нї-е,бл҃го-ра*ст.во-ре́-нї-е
бл҃го-сло-в*лѧ́-етъ,бл҃го-сло-в*лѧ́-етъ
бл҃го-сло-в*лѧ́-хꙋ,бл҃го-сло-в*лѧ́-хꙋ
бл҃го-сло*в-лѧ́-ѧй,бл҃го-сло*в-лѧ́-ѧй
бо-го-мꙋ́*д.рї-и,бо-го-мꙋ́*д.рї-и
бо-лѣ́.зней,бо-лѣ́.зней
бо-лѣ́.знемъ,бо-лѣ́.знемъ
бо-лѣ́.знен-нѡ,бо-лѣ́.знен-нѡ
бо-лѣ́.знен-ны-ѧ,бо-лѣ́.знен-ны-ѧ
бо-лѣ́.знехъ,бо-лѣ́.знехъ
бо-лѣ́.зни,бо-лѣ́.зни
бо-лѣ̑.з*ни,бо-лѣ̑.з*ни
бѡ-лѣ́.зни,бѡ-лѣ́.зни
бо-ѧ́.з*ни,бо-ѧ́.з*ни
взѧ́.сте,взѧ́.сте
вне́.м*лю-щѣ,вне́.м*лю-щѣ
внꙋ́.трен-нихъ,внꙋ́.трен-нихъ
внꙋ́.трен-нїй,внꙋ́.трен-нїй
внꙋ́.трен-нѧ-го,внꙋ́.трен-нѧ-го
во*д-ны́хъ,во*д-ны́хъ
во-до.стла́-ненъ,во-до.стла́-ненъ
воз-лю́б.лен-на-го,воз-лю́б.лен-на-го
воз-лю́б.лен-на-ѧ,воз-лю́б.лен-на-ѧ
воз-лю́б.лен-не,воз-лю́б.лен-не
воз-лю́б.лен-нї-и,воз-лю́б.лен-нї-и
воз-лю́б.лен-но-мꙋ,воз-лю́б.лен-но-мꙋ
воз-лю́б.лен-ный,воз-лю́б.лен-ный
воз-лю́б.ленъ,воз-лю́б.ленъ
воз-не*с.тѝ,воз-не*с.тѝ
воз-став-лѧ́-етъ,воз-ста.влѧ́-етъ
во́-ин*ствъ,во́-ин*ствъ
вы́*спрь,вы́*спрь
гри́.в*на,гри́.в*на
гри́.в*ны,гри́.в*ны
гри̑-в*ны,гри̑-в*ны
гри̑-в*нѣ,гри̑-в*нѣ
де́р-зо.сти,де́р-зо.сти
ди́в.ни,ди́в.ни
до́.бле-ствен-нѡ,до́.бле-ствен-нѡ
до́.бле-ствен-нѣ,до́.бле-ствен-нѣ
до́.б*ныхъ,до́.б*ныхъ
до́л.ж*ни,до́л.ж*ни
до́л.ж*но,до́л.ж*но
дом-ні́-ка,дом-ні́*ка
дрє́в.нимъ,дрє́в.нимъ
дре́в.нихъ,дре́в.нихъ
дрѣ́.в*ле,дрѣ́.в*ле
є҆́з.дра,є҆́з.дра
є҆-сте́*ствъ,є҆-сте́*ствъ
є҆ѵⷢ҇лї-е,є҆ѵⷢ҇лї*е
жа́т.ва,жа́т.ва
жа́т.вꙋ,жа́т.вꙋ
жа́т.вы,жа́т.вы
же́р.тва,же́р.тва
же́р.твахъ,же́р.твахъ
же́р.твєн-на-ѧ,же́р.твєн-на-ѧ
же́р.твен-ни-ка,же́р.твен-ни-ка
же́р.твен-ни-кꙋ,же́р.твен-ни-кꙋ
же́р.твен-никъ,же́р.твен-никъ
же́р.твен-ни-цѣ,же́р.твен-ни-цѣ
же́р.твен-но-е,же́р.твен-но-е
же́р.твꙋ,же́р.твꙋ
жє́р.твы,жє́р.твы
жи́.з*ни,жи́.з*ни
за-ко́.нꙋ,за-ко́.нꙋ
за́-па.д*ный,за́-па.д*ный
за-ꙋ́.тра,за-ꙋ́.тра
зе́.м*ленъ,зе́.м*ленъ
зе́.м*лю,зе́.м*лю
и҆з-ба́в-лен-нї-и,и҆з-ба́.в*лен-нї-и
и҆з-ба́в-лю,и҆з-ба́.в*лю
и҆з-ба́в-лю-сѧ,и҆з-ба́.в*лю-сѧ
и҆з-вѣ́*ст.во-ва-ше,и҆з-вѣ́*ст.во-ва-ше
